Наименование:;Код товара:;Артикул:;Группа товаров:;Вид товаров:;Единица измерения:;Весовой товар:;Код весового товара;Штрих-код:;Цена:;Количество:
Чай "Ahmad" англійський №1 чорний з ароматом бергамоту 25пак;1;1;Алкоголь;Пиво;шт;False;1;54881005999;50;10
Чай Ahhmad "Англійський №1" 40 пак;2;2;Алкоголь;Пиво;шт;False;2;54881006316;55;11
Чай Ahhmad "Граф Грей "   40 пак;3;3;Алкоголь;Пиво;шт;False;3;54881006828;60;12
Чай "Ahmad" англійський до сніданку 100г;4;4;Алкоголь;Пиво;шт;False;4;54881007993;65;13
Чай Ahhmad "Граф Грей "  100 г;5;5;Алкоголь;Пиво;шт;False;5;54881008594;70;14
Чай "Ahmad" англійський №1 чорний з ароматом бергамоту 100г;6;6;Алкоголь;Пиво;шт;False;6;54881008990;75;15
Чай Ahhmad "Англійський до сніданку" без ярлика 40 пак;7;7;Алкоголь;Пиво;шт;False;7;54881009188;80;16
Чай Ahhmad "Різдвяний вечір" в муз. коробкі чорн.лист з бергамотом 125 г;8;8;Алкоголь;Пиво;шт;False;8;54881012812;85;17
Сигари "Captain Black" з мунд0уком классік;9;9;Алкоголь;Пиво;шт;False;9;61900174680;90;18
Сигари "Captain Black" з мунд0уком дарк крема;10;10;Алкоголь;Пиво;шт;False;10;61900177681;95;19
Сигари "Captain Black" з мунд0уком вишня;11;11;Алкоголь;Пиво;шт;False;11;61900179685;100;20
Морозиво Лімо "Твоє Морозиво" з шоколадним смаком 80г;12;12;Алкоголь;Пиво;шт;False;12;7122439;105;21
Сигари "Captain Black" вишня;13;13;Алкоголь;Пиво;шт;False;13;71737040614;110;22
Сигарелла "Colts" класичні;14;14;Алкоголь;Пиво;шт;False;14;71737411070;115;23
Сигарелла "Colts"зі смаком ванілі;15;15;Алкоголь;Пиво;шт;False;15;71737411100;120;24
Сигарелла "Colts"зі смаком какао;16;16;Алкоголь;Пиво;шт;False;16;71737411131;125;25
Сигари "Captain Black" классік;17;17;Алкоголь;Пиво;шт;False;17;71737493007;130;26
Сигари "Captain Black" крема;18;18;Алкоголь;Пиво;шт;False;18;71737497005;135;27
Сигари "Captain Black" чорні;19;19;Алкоголь;Пиво;шт;False;19;71737498057;140;28
Сигари "Captain Black" сірий;20;20;Алкоголь;Пиво;шт;False;20;71737498088;145;29
Сигари "Captain Black" вайт крема;21;21;Алкоголь;Пиво;шт;False;21;71737499009;150;30
Сік "Сандора" гранат 1л;22;22;Алкоголь;Пиво;шт;False;22;7673870;155;31
Корм для котів "Мяу Мікс"  морське асорті сух. 1 0;23;23;Алкоголь;Пиво;шт;False;23;78053116986;160;32
Текіла " Olmeka Blanko clasiko " 0,5л;24;24;Алкоголь;Пиво;шт;False;24;80432107010;165;33
Горілка " Грей Гуз " 0,75л.;25;25;Алкоголь;Пиво;шт;False;25;80480280024;170;34
Віскі " Canadian LTD " 1л;26;26;Алкоголь;Пиво;шт;False;26;82928399749;175;35
Ром " Kaptain Morgan Blak " 0,5л;27;27;Алкоголь;Пиво;шт;False;27;87000651289;180;36
БаренцРус печінка тріски натуральна 230 г;28;28;Алкоголь;Пиво;шт;False;28;1046495100015;185;37
Буренка Вершки 10% 20 г;29;29;Алкоголь;Пиво;шт;False;29;2000000000060;190;38
Лимон;30;30;Алкоголь;Пиво;шт;False;30;2000000000473;195;39
Апельсин;31;31;Алкоголь;Пиво;шт;False;31;2000000000480;200;40
Геркулес Сир плавлений Pepino дитячий;32;32;Алкоголь;Пиво;шт;False;32;2000000001180;205;41
Агробелком Масло пряжене Вологодське 830 г;33;33;Алкоголь;Пиво;шт;False;33;2000000001241;210;42
Макарони "Combino" Спагетти 500г;34;34;Алкоголь;Пиво;шт;False;34;20003463;215;43
Макарони "Combino Fusilli" 500 г;35;35;Алкоголь;Пиво;шт;False;35;20003470;220;44
BresciaСир Grana Padano 330 г;36;36;Алкоголь;Пиво;шт;False;36;2000408003304;225;45
BresciaСир Grana Padano 330 г;37;37;Алкоголь;Пиво;шт;False;37;2000408003342;230;46
Хліб Львівський;38;38;Алкоголь;Пиво;шт;False;38;2000408006237;235;47
